year,naics,wage
1992,3341,48380.951217181064
1992,3342,40160.70706285837
1992,3343,29277.03245316996
1992,3344,34806.826405511645
1992,3345,40291.904739222795
1992,3346,38548.553122318306
1992,3351,27420.430546075084
1992,3352,26923.085315343884
1992,3353,29769.551128633702
1992,3359,30656.738394743017
1992,3361,47508.198561374455
1992,3362,26931.547471247774
1992,3363,34686.358162566285
1992,3364,44383.851267128026
1992,3365,31738.3324497872
1992,3366,28774.060970305643
1992,3369,33589.70558108007
1992,3371,19775.27029789147
1992,3372,25759.695529173106
1992,3379,22477.39939084515
1992,3391,29192.294181365927
1992,3399,24074.7887499842
1992,4231,28319.574919513503
1992,4232,31791.96544316456
1992,4233,30890.966570277193
1992,4234,43438.177280178475
1992,4235,35829.74591254226
1992,4236,38613.88708258438
1992,4237,31634.785489517777
1992,4238,32773.51988641755
1992,4239,28714.352786960495
1992,4241,32513.29785872183
1992,4242,41826.02309924448
1992,4243,35710.93469599988
1992,4244,29127.16205717837
1992,4245,19643.768993778056
1992,4246,41487.89136587315
1992,4247,31895.99854419007
1992,4248,34215.61781121528
1992,4249,25702.869421697033
1992,4251,35967.90423276545
1992,4411,28815.94731050311
1992,4412,21449.905513225993
1992,4413,20026.10678031997
1992,4421,21038.206269281232
1992,4422,18754.827255140393
1992,4431,27496.048022547122
1992,4441,20231.542836963305
1992,4442,17443.720852363287
1992,4451,14192.280920120356
1992,4452,17564.422110747168
1992,4453,15160.233987466534
1992,4461,18815.8772510162
1992,4471,12078.63566069488
1992,4481,12656.765232005797
1992,4482,13066.823568651464
1992,4483,17932.52565944845
1992,4511,13054.621857048554
1992,4512,12709.578107896794
1992,4521,13349.205002368806
1992,4529,13268.996198678518
1992,4531,10700.193684480699
1992,4532,15404.597751335585
1992,4533,12600.976245292512
1992,4539,18797.084328858735
1992,4541,21367.21732728165
1992,4542,18140.90934613549
1992,4543,21803.63362280027
1992,4811,39083.33330216721
1992,4812,29023.34762830752
1992,4821,26036.090909090908
1992,4831,47138.15536374846
1992,4832,33744.2496030846
1992,4841,27440.62600131252
1992,4842,23893.832922419962
1992,4851,25313.231763423937
1992,4852,24126.42415051211
1992,4853,15093.704004613532
1992,4854,12304.035694907048
1992,4855,16312.8004522329
1992,4859,15539.618702176289
1992,4861,52297.55190459849
1992,4862,47286.19863280405
1992,4869,45613.92562988705
1992,4871,16798.054363564566
1992,4872,15797.856813764307
1992,4879,20076.436673523363
1992,4881,24511.00662602979
1992,4882,28416.77388053766
1992,4883,31673.559028525448
1992,4884,19782.365366077578
