year,sic,wage
1976,2441,8726.126409774437
1976,2448,7134.648535353535
1976,2449,7571.204626972741
1976,2451,10181.993839249286
1976,2452,10888.054882594111
1976,2491,10008.881715170783
1976,2492,11624.94526948106
1976,2499,8617.929247795975
1976,2511,7852.215986482398
1976,2512,8604.554378242416
1976,2514,8710.541585942014
1976,2515,9960.964326501173
1976,2517,7907.7687947991335
1976,2519,8419.575280898876
1976,2521,9100.38838259767
1976,2522,12228.970209829944
1976,2531,10380.04257997309
1976,2541,11452.80602180308
1976,2542,10844.444554809488
1976,2591,9877.446841869494
1976,2599,10859.795814190913
1976,2611,16417.29359195022
1976,2621,15587.530778972601
1976,2631,15833.832053568729
1976,2641,14858.338750808814
1976,2642,11473.789543290424
1976,2643,11438.026198810316
1976,2645,11625.385730343725
1976,2646,12043.090432503277
1976,2647,13137.543588680419
1976,2648,10277.344786729858
1976,2649,10667.965881343629
1976,2651,12265.256086733025
1976,2652,8710.512148200925
1976,2653,13142.42698059498
1976,2654,11366.613370290674
1976,2655,11752.217544046414
1976,2661,12818.148728996122
1976,2711,11038.95606500971
1976,2721,13945.81947241526
1976,2731,11768.742844378257
1976,2732,12200.156408424347
1976,2741,10646.39907857054
1976,2751,11738.170865993603
1976,2752,12852.325400598289
1976,2753,12283.624569559228
1976,2754,15321.4510958456
1976,2761,12461.062415508226
1976,2771,10556.765568612936
1976,2782,10621.25957340651
1976,2789,9487.121620454349
1976,2791,12852.523502343784
1976,2793,16067.569632392115
1976,2794,13806.442704039571
1976,2795,16547.1020586947
1976,2812,17249.407627383556
1976,2813,15369.785272475205
1976,2816,15077.098832328475
1976,2819,15867.05321309532
1976,2821,16111.746076458752
1976,2822,16494.757164179104
1976,2823,14261.315917520838
1976,2824,14877.296155794218
1976,2831,15265.204374939101
1976,2833,17285.17460417986
1976,2834,14846.222304022616
1976,2841,16452.21757719715
1976,2842,13099.483964517229
1976,2843,14708.038893409275
1976,2844,13012.83374985582
1976,2851,13450.707625226942
1976,2861,12116.654177295919
1976,2865,16583.076521475185
1976,2869,18503.567596637542
1976,2873,15452.596160510084
1976,2874,14107.838400551535
1976,2875,11666.629911707218
1976,2879,14538.407527159856
1976,2891,13485.529181882248
1976,2892,13423.008448131517
1976,2893,14854.997902799307
1976,2895,16500.037986483338
1976,2899,14578.958641858962
1976,2911,19169.67736709697
1976,2951,14640.552874785311
1976,2952,12763.325310226786
1976,2992,14328.287902504473
1976,2999,11785.613607188703
1976,3011,14803.860546788175
1976,3021,7434.351042206369
1976,3031,12150.60941475827
1976,3041,11987.303106953657
1976,3069,10836.409438979244
1976,3079,10299.291362769922
1976,3111,11018.266463944396
1976,3131,7887.8020638820635
1976,3142,7132.8457013107645
1976,3143,7360.516406846179
1976,3144,7147.250717580362
1976,3149,7010.662952393894
1976,3151,6281.488388135203
1976,3161,8135.183374646913
1976,3171,6974.621775207443
1976,3172,7545.723700537708
1976,3199,7921.817307692308
1976,3211,15887.709168685255
1976,3221,12720.896505340894
1976,3229,12890.605458881724
1976,3231,12384.555798632691
1976,3241,16514.674384333244
1976,3251,9694.465714689664
1976,3253,9964.505667874255
